corp_code,corp_name,stock_code,stage,stage_reason,risk_score,status,status_code,end_date,capital_total,capital_impaired,부채비율,유동비율,이자보상배율,fs_missing,induty_code,is_b2b_industry,final_distress_label,NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정
01071041,CJ 바이오사이언스,311690,0,정상,0.0,계속사업자,01,,60488169332.0,False,18.59768302005586,733.5770088228151,,False,701,False,False,1079,CJ 바이오사이언스,311690,B+,B,B+,B+,2025,,,,
00103592,광동제약,009290,0,정상,0.0,계속사업자,01,,613819426051.0,False,66.61700490707919,124.31276825088192,,False,21220,False,False,885,광동제약,009290,B,A,A,D,2025,,,,
00164609,에이치디현대미포,010620,3,국세청 폐업,100.0,폐업자,03,2025-12-03,2016914579000.0,False,151.26271116115524,107.7241031269151,,False,3111,False,True,1043,HD현대미포,010620,A,A,A,A,2025,,,,
00108746,DKME,015590,0,정상,0.0,계속사업자,01,,125988370587.0,False,48.93534317314331,292.79972536502623,,False,29176,False,False,1067,DKME,015590,D,C,D,D,2025,,,,
00109693,DL,000210,1,유동비율<100%;재무제표미제출;,25.0,계속사업자,01,,,,,99.202579023687,,True,20111,False,False,1066,DL,000210,A,A+,A,A,2025,,,사회 등급조정(2026.01.),
00118026,동원산업,006040,1,유동비율<100%;재무제표미제출;,25.0,계속사업자,01,,,,,94.8132712871232,,True,64992,False,False,758,동원산업,006040,A,A,A+,B+,2025,,,,
00117179,디와이,013570,0,정상,0.0,계속사업자,01,,212833099200.0,False,7.949129307703094,161.76164566472434,,False,64992,False,False,734,디와이,013570,C,C,D,C,2025,,,,
00118521,진원생명과학,011000,1,유동비율<100%;,25.0,계속사업자,01,,33776961316.0,False,101.89179827345012,47.30412594623732,,False,212,False,False,284,진원생명과학,011000,D,D,D,D,2025,,,,
00684714,풍산,103140,0,정상,0.0,계속사업자,01,,2298131546597.0,False,67.41406333062616,190.1203638878766,,False,242,False,False,168,풍산,103140,B+,B,A,B+,2025,,,,
00172291,더존비즈온,012510,1,유동비율<100%;,25.0,계속사업자,01,,523739840185.0,False,91.10691872790358,39.004966069888205,,False,62022,False,False,783,더존비즈온,012510,C,B+,A,C,2025,,,,
00110750,GMI벤처,019570,0,정상,0.0,계속사업자,01,,40849125445.0,False,39.71476908078026,101.37763941820212,,False,64209,False,False,163,플루토스,019570,D,D,D,D,2025,,,,
00104999,윌비스,008600,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,54587933164.0,False,232.15477915470103,98.6474225479171,,False,46413,True,False,391,윌비스,008600,C,D,C,C,2025,,,,
00274933,신세계푸드,031440,0,정상,0.0,계속사업자,01,,357699635574.0,False,126.33366809693412,125.5314015830524,,False,561,False,False,536,신세계푸드,031440,A,A,A+,A,2025,,,,
01061327,클래시스,214150,0,정상,0.0,계속사업자,01,,554320276182.0,False,26.769937555428463,390.160087284057,,False,271,False,False,219,클래시스,214150,A,A,A+,A,2025,,,,
00204262,한컴,030520,0,정상,0.0,계속사업자,01,,378150097463.0,False,17.860043429873297,268.8328658815573,,False,582,False,False,111,한글과컴퓨터,030520,C,D,C,C,2025,,,,
00121932,미원상사,002840,0,정상,0.0,계속사업자,01,,410128970758.0,False,18.581444724363813,487.0601764226477,,False,204,False,False,674,미원상사,002840,C,C,D,B,2025,,,,
00118008,동원모빌리티,018500,1,부채비율≥200%;유동비율<100%;,25.0,계속사업자,01,,112055963878.0,False,202.5689514992117,77.22463070026733,,False,303,False,False,759,동원금속,018500,B+,B+,B+,B,2025,,,,
00415646,드림텍,192650,1,유동비율<100%;,25.0,계속사업자,01,,257602195870.0,False,67.06948780832222,56.10767383864646,,False,2629,False,False,740,드림텍,192650,B,B,B,B+,2025,,,,
00135917,한화손해보험,000370,1,부채비율≥200%;,25.0,계속사업자,01,,2720126457000.0,False,645.5187038387018,,,False,65121,False,False,67,한화손해보험,000370,A,A+,A,B+,2025,,,,
00760971,크래프톤,259960,0,정상,0.0,계속사업자,01,,7263459492069.0,False,12.33756553028887,593.7187721599357,,False,5821,False,False,220,크래프톤,259960,A,B+,A,A,2025,,,,
00109806,삼일씨엔에스,004440,0,정상,0.0,계속사업자,01,,268108489293.0,False,64.3965560550819,123.49555665214228,,False,23325,False,False,610,삼일씨엔에스,004440,D,C,D,D,2025,,,,
00111421,휴니드테크놀러지스,005870,0,정상,0.0,계속사업자,01,,162813324976.0,False,91.48327236604004,464.5333152209075,,False,2642,False,False,8,휴니드테크놀러지스,005870,D,C,C,D,2025,,,,
00145862,인천도시가스,034590,0,정상,0.0,계속사업자,01,,238106011940.0,False,88.36017356336895,195.87783678465925,,False,35200,False,False,347,인천도시가스,034590,C,D,B,B,2025,,,,
01234507,매일유업,267980,0,정상,0.0,계속사업자,01,,686328108917.0,False,61.131726380995325,231.00607345459332,,False,104,False,False,707,매일유업,267980,A,A,A+,A,2025,,,,
00120182,NH투자증권,005940,0,정상,0.0,계속사업자,01,,7392139000000.0,False,,,,False,66121,False,False,964,NH투자증권,005940,B+,A,A,B+,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.)
