corp_code,bsns_year,drctr_co,otcmp_drctr_co,stlm_dt,rcept_no,corp_name,outside_ratio
00980122,2025,11.0,9.0,2025-12-31,20260318001225,JB금융지주,0.8181818181818182
00118275,2025,6.0,2.0,2025-12-31,20260605000334,디아이,0.3333333333333333
00500254,2025,7.0,4.0,2025-12-31,20260318000836,GS,0.5714285714285714
00113359,2025,7.0,5.0,2025-12-31,20260317000550,교보증권,0.7142857142857143
00347062,2025,6.0,3.0,2025-12-31,20260312000632,현대바이오랜드,0.5
00177816,2025,7.0,3.0,2025-12-31,20260319000004,대주전자재료,0.42857142857142855
00161976,2025,7.0,3.0,2025-12-31,20260318001537,한세예스24홀딩스,0.42857142857142855
00435312,2025,2.0,1.0,2025-12-31,20260310002913,하이스틸,0.5
00246417,2025,4.0,1.0,2025-12-31,20260323001573,이오테크닉스,0.25
00555874,2025,6.0,3.0,2025-12-31,20260318001439,제주항공,0.5
00120021,2025,7.0,4.0,2025-12-31,20260318001025,LG,0.5714285714285714
00432102,2025,7.0,5.0,2025-12-31,20260319001006,한국금융지주,0.7142857142857143
00231664,2025,4.0,1.0,2025-12-31,20260318001355,우리기술투자,0.25
00115065,2025,6.0,2.0,2025-12-31,20260318000382,동남합성,0.3333333333333333
00369657,2025,6.0,2.0,2025-12-31,20260318000182,리노공업,0.3333333333333333
00170558,2025,9.0,6.0,2025-12-31,20260323000924,코웨이,0.6666666666666666
00269940,2025,12.0,4.0,2025-12-31,20260319001345,하나투어,0.3333333333333333
00138260,2025,4.0,1.0,2025-12-31,20260318001274,SIMPAC,0.25
00164724,2025,7.0,4.0,2025-12-31,20260318001372,현대엘리베이터,0.5714285714285714
00148364,2025,7.0,4.0,2025-12-31,20260323001527,하림지주,0.5714285714285714
00997812,2025,4.0,1.0,2025-12-31,20260323001516,코미코,0.25
00139764,2025,4.0,1.0,2025-12-31,20260318000523,에넥스,0.25
00105606,2025,4.0,1.0,2025-12-31,20260318001668,금호에이치티,0.25
00133618,2025,5.0,2.0,2025-12-31,20260318000600,세기상사,0.4
00133812,2025,7.0,3.0,2025-12-31,20260731000640,세방,0.42857142857142855
00666064,2025,7.0,2.0,2025-12-31,20260319001250,셀바스AI,0.2857142857142857
00158112,2025,4.0,1.0,2025-12-31,20260311004029,한국수출포장공업,0.25
01397620,2025,6.0,2.0,2025-12-31,20260323001574,루닛,0.3333333333333333
00163196,2025,4.0,1.0,2025-12-31,20260806000290,한일철강,0.25
00109718,2025,8.0,3.0,2025-12-31,20260318001283,사조대림,0.375
00423690,2025,7.0,3.0,2025-12-31,20260319000408,삼성출판사,0.42857142857142855
00152039,2025,4.0,1.0,2025-12-31,20260318000113,SG글로벌,0.25
00587466,2025,4.0,1.0,2025-12-31,20260320001194,KPX홀딩스,0.25
00141413,2025,6.0,3.0,2025-12-31,20260316000700,영화금속,0.5
01128613,2025,7.0,3.0,2025-12-31,20260312000443,화승엔터프라이즈,0.42857142857142855
00796994,2025,4.0,3.0,2025-12-31,20260814002194,조선선재,0.75
00353878,2025,3.0,3.0,2025-12-31,20260731000748,다스코,1.0
00819073,2025,6.0,3.0,2025-12-31,20260318000011,인크로스,0.5
00122579,2025,9.0,3.0,2025-12-31,20260319001175,BYC,0.3333333333333333
00156354,2025,6.0,3.0,2025-12-31,20260320001109,지엠비코리아,0.5
00108612,2025,7.0,3.0,2025-12-31,20260323000702,DS단석,0.42857142857142855
00138279,2025,11.0,6.0,2025-12-31,20260320000559,S-Oil,0.5454545454545454
00160418,2025,4.0,1.0,2025-12-31,20260323000529,한국무브넥스,0.25
00145552,2025,5.0,2.0,2025-12-31,20260319001212,이수화학,0.4
00116949,2025,5.0,2.0,2025-12-31,20260312001285,DN오토모티브,0.4
00176914,2025,5.0,3.0,2025-12-31,20260318001606,다우기술,0.6
00160232,2025,8.0,5.0,2025-12-31,20260318001401,KSS해운,0.625
00508344,2025,6.0,4.0,2025-12-31,20260317000411,SK디앤디,0.6666666666666666
00111722,2025,7.0,4.0,2025-12-31,20260515002972,미래에셋증권,0.5714285714285714
00128227,2025,3.0,1.0,2025-12-31,20260319000474,삼정펄프,0.3333333333333333
01080252,2025,5.0,2.0,2025-12-31,20260323000883,넥스틴,0.4
00158316,2025,8.0,3.0,2025-12-31,20260323000907,NICE,0.375
00583424,2025,10.0,6.0,2025-12-31,20260318000785,아모레퍼시픽,0.6
00113997,2025,5.0,2.0,2025-12-31,20260310002974,롯데에너지머티리얼즈,0.4
00173032,2025,3.0,1.0,2025-12-31,20260608000293,동화기업,0.3333333333333333
00480455,2025,4.0,2.0,2025-12-31,20260323000690,STX엔진,0.5
00228350,2025,3.0,1.0,2025-12-31,20260318000583,신화인터텍,0.3333333333333333
00106313,2025,5.0,3.0,2025-12-31,20260318001135,금호건설,0.6
00828789,2025,10.0,3.0,2025-12-31,20260319001251,대성산업,0.3
00125576,2025,6.0,2.0,2025-12-31,20260323000928,체시스,0.3333333333333333
00855163,2025,7.0,3.0,2025-12-31,20260309001317,미원화학,0.42857142857142855
00127255,2025,5.0,2.0,2025-12-31,20260323000789,삼영,0.4
00114552,2025,10.0,3.0,2025-12-31,20260316001627,도화엔지니어링,0.3
00116301,2025,4.0,1.0,2025-12-31,20260312001308,NI스틸,0.25
00121570,2025,4.0,1.0,2025-12-31,20260319000530,문배철강,0.25
00142865,2025,6.0,3.0,2025-12-31,20260319000477,WISCOM,0.5
00490151,2025,4.0,1.0,2025-12-31,20260702000296,파트론,0.25
01350869,2025,8.0,7.0,2025-12-31,20260313001235,우리금융지주,0.875
00180795,2025,6.0,3.0,2025-12-31,20260323001188,인팩,0.5
00646732,2025,4.0,1.0,2025-12-31,20260312001025,진양홀딩스,0.25
00564562,2025,5.0,3.0,2025-12-31,20260318001219,엠씨넥스,0.6
00353762,2025,3.0,1.0,2025-12-31,20260316001281,키이스트,0.3333333333333333
00102113,2025,8.0,2.0,2025-12-31,20260319000395,경인양행,0.25
00145598,2025,6.0,3.0,2025-12-31,20260320001314,이연제약,0.5
00409672,2025,3.0,1.0,2025-12-31,20260323000437,티비에이치글로벌,0.3333333333333333
00138057,2025,3.0,1.0,2025-12-31,20260318001440,써니전자,0.3333333333333333
00468374,2025,4.0,1.0,2025-12-31,20260323001246,원익QnC,0.25
00159971,2025,3.0,1.0,2025-12-31,20260701000397,KC그린홀딩스,0.3333333333333333
00367710,2025,4.0,2.0,2025-12-31,20260319001347,동인기연,0.5
00692254,2025,5.0,2.0,2025-12-31,20260320000432,아이패밀리에스씨,0.4
00126201,2025,4.0,1.0,2025-12-31,20260608000034,삼성공조,0.25
00266961,2025,7.0,4.0,2025-12-31,20260313001021,NAVER,0.5714285714285714
00122694,2025,4.0,2.0,2025-12-31,20260331003709,범양건영,0.5
00858364,2025,8.0,7.0,2025-12-31,20260318001147,BNK금융지주,0.875
00161693,2025,7.0,2.0,2025-12-31,20260319001167,한샘,0.2857142857142857
00124780,2025,7.0,3.0,2025-12-31,20260317000763,사조씨푸드,0.42857142857142855
00139214,2025,6.0,4.0,2025-12-31,20260312001399,삼성화재해상보험,0.6666666666666666
00166500,2025,6.0,2.0,2025-12-31,20260318001051,화천기계,0.3333333333333333
01135941,2025,6.0,3.0,2025-12-31,20260316001453,원익IPS,0.5
00165103,2025,8.0,3.0,2025-12-31,20260324000034,푸드웰,0.375
00535676,2025,3.0,1.0,2025-12-31,20260623000173,테크윙,0.3333333333333333
00878696,2025,7.0,4.0,2025-12-31,20260318000773,에스케이바이오팜,0.5714285714285714
00181943,2025,3.0,1.0,2025-12-31,20260319001165,에스제이엠홀딩스,0.3333333333333333
00595191,2025,3.0,1.0,2025-12-31,20260318001491,후성,0.3333333333333333
00136271,2025,7.0,3.0,2025-12-31,20260318000940,신성이엔지,0.42857142857142855
00149239,2025,7.0,3.0,2025-12-31,20260312000761,조일알미늄,0.42857142857142855
00612294,2025,5.0,3.0,2025-12-31,20260316000390,피엔티,0.6
00264547,2025,4.0,1.0,2025-12-31,20260318000474,KG이니시스,0.25
00104768,2025,6.0,3.0,2025-12-31,20260316000969,가온전선,0.5
00167208,2025,5.0,2.0,2025-12-31,20260318000745,흥아해운,0.4
01528141,2025,6.0,3.0,2025-12-31,20260604000337,LS머트리얼즈,0.5
00150165,2025,6.0,2.0,2025-12-31,20260319001002,브이티,0.3333333333333333
00545716,2025,7.0,4.0,2025-12-31,20260316000884,롯데렌탈,0.5714285714285714
00767460,2025,7.0,3.0,2025-12-31,20260312000098,PI첨단소재,0.42857142857142855
00599595,2025,4.0,1.0,2025-12-31,20260318001144,BGF에코머티리얼즈,0.25
00152729,2025,3.0,1.0,2025-12-31,20260319000424,광전자,0.3333333333333333
00765569,2025,7.0,2.0,2025-12-31,20260319000682,기가비스,0.2857142857142857
00360595,2025,9.0,5.0,2025-12-31,20260318001205,현대글로비스,0.5555555555555556
00403632,2025,6.0,3.0,2025-12-31,20260313001193,현대퓨처넷,0.5
00208444,2025,5.0,2.0,2025-12-31,20260320000819,피에스케이홀딩스,0.4
00161860,2025,4.0,1.0,2025-12-31,20260318001070,한성기업,0.25
00428251,2025,9.0,5.0,2025-12-31,20260318001314,현대백화점,0.5555555555555556
00135962,2025,4.0,1.0,2025-12-31,20260515001873,신라교역,0.25
00447609,2025,4.0,3.0,2025-12-31,20260323001134,비에이치,0.75
00106119,2025,9.0,3.0,2025-12-31,20260608000226,금양,0.3333333333333333
00108940,2025,7.0,3.0,2025-12-31,20260319000799,대성홀딩스,0.42857142857142855
00140964,2025,5.0,2.0,2025-12-31,20260319001240,영원무역홀딩스,0.4
01199550,2025,5.0,3.0,2025-12-31,20260313001045,HD현대에너지솔루션,0.6
01721809,2025,7.0,3.0,2025-12-31,20260316001009,현대그린푸드,0.42857142857142855
00106669,2025,7.0,4.0,2025-12-31,20260316001503,세아베스틸지주,0.5714285714285714
00156895,2025,8.0,3.0,2025-12-31,20260319001243,아주IB투자,0.375
01323032,2025,6.0,3.0,2025-12-31,20260318000506,케이카,0.5
00173078,2025,4.0,1.0,2025-12-31,20260323000909,명신산업,0.25
00573579,2025,8.0,3.0,2025-12-31,20260316000837,평화산업,0.375
00861076,2025,5.0,3.0,2025-12-31,20260312001183,케이탑리츠,0.6
00776820,2025,7.0,4.0,2025-12-31,20260319001279,영원무역,0.5714285714285714
00550994,2025,5.0,2.0,2025-12-31,20260318001657,아이센스,0.4
01566248,2025,5.0,3.0,2025-12-31,20260316001329,에코프로에이치엔,0.6
00140779,2025,5.0,2.0,2025-12-31,20260311004373,영보화학,0.4
00134565,2025,2.0,1.0,2025-12-31,20260319000990,이스타코,0.5
00136624,2025,8.0,3.0,2025-12-31,20260312001122,신영와코루,0.375
00248974,2025,6.0,2.0,2025-12-31,20260320001014,하나제약,0.3333333333333333
00127954,2025,5.0,3.0,2025-12-31,20260319000895,CJ프레시웨이,0.6
00161116,2025,7.0,4.0,2025-12-31,20260317000824,HL D&I,0.5714285714285714
00114765,2025,3.0,1.0,2025-12-31,20260317000470,케이비아이동국실업,0.3333333333333333
00625942,2025,8.0,3.0,2025-12-31,20260313000415,한솔아이원스,0.375
00132992,2025,7.0,4.0,2025-12-31,20260319000729,성우하이텍,0.5714285714285714
00153339,2025,4.0,1.0,2025-12-31,20260323001550,태경산업,0.25
00117027,2025,6.0,3.0,2025-12-31,20260318001554,알루코,0.5
00110875,2025,3.0,1.0,2025-03-31,20250619000193,대신정보통신,0.3333333333333333
01765265,2025,6.0,4.0,2025-12-31,20260313000519,동국제강,0.6666666666666666
00150828,2025,4.0,1.0,2025-12-31,20260311004416,진흥기업,0.25
00164779,2025,9.0,5.0,2025-12-31,20260317000635,SK하이닉스,0.5555555555555556
00260930,2025,11.0,6.0,2025-12-31,20260317000781,에스엠,0.5454545454545454
00171636,2025,7.0,3.0,2025-12-31,20260318001586,한솔홀딩스,0.42857142857142855
00181712,2025,8.0,5.0,2025-12-31,20260318001157,SK,0.625
