종목코드=기업코드,법인명=종목명=기업명,지정구분,지정업종(목표)/계획업종(할당),업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),시장구분,시가총액,ESG등급,환경,사회,지배구조,비고
,경원여객자동차(주),사업장,육상 여객 운송업,,"15,471",220,,,,,,,소재지 : 경상남도 진주
,경원여객자동차(주),사업장,육상 여객 운송업,,"31,036",572,,,,,,,소재지 : 경기도 안산
012610,경인양행,,,화학,,,KOSPI,,B+,B+,B+,B,
009140,경인전자,,,전기·전자,,,KOSPI,,D,D,D,D,
,경주시,사업장,폐기물 처리업,,"83,421",682,,,,,,,
,경진단조(주),사업장,기계,,"14,386",298,,,,,,,
,경진여객운수(주),사업장,육상 여객 운송업,,"21,107",373,,,,,,,
024910,경창산업(주),사업장,자동차,운송장비·부품,"22,326",465,KOSDAQ,53585231480,,,,,
013580,계룡건설산업,,,건설,,,KOSPI,,B,B+,C,B+,
012200,계양전기,,,기계·장비,,,KOSPI,,D,C,C,D,
,고덕그린에너지(주),사업장,전기업,,"28,909",17,,,,,,,
,고려강선(주),사업장,1차 철강 제조업,,"57,778","1,210",,,,,,,
,고려고속훼리(주),사업장,해상 운송업,,"31,118",447,,,,,,,
,고려기초소재,사업장,기타 비금속 광물제품 제조업,,"20,080",352,,,,,,,
002140,고려산업,,,음식료·담배,,,KOSPI,,D,D,D,C,
010130,고려아연,업체,1차 비철금속 제조업,금속,"3,199,180","44,425",KOSPI,2.45608E+13,B+,B+,A,B+,
,고려용접봉 주식회사,사업장,기계,,"16,869",347,,,,,,,
002240,고려제강,사업장,1차 철강 제조업,금속,"90,621","1,854",KOSPI,5.778E+11,D,C,D,D,
,고려제지,업체,"펄프, 종이 및 판지 제조업",,"149,257","3,748",,,,,,,
,고려특수선재(주),사업장,철강,,"22,134",461,,,,,,,
,고성그린파워 주식회사,업체,전기업,,"8,875,485","96,161",,,,,,,
,고양시,업체,폐기물 처리업,,"140,051","1,147",,,,,,,
098460,고영,,,기계·장비,,,KOSDAQ,,B+,B,A,B,
215000,골프존,,,IT 서비스,,,KOSDAQ,,B+,A,A,B+,
,공주시,사업장,폐기물,,"16,080",43,,,,,,,
,공항철도(주),사업장,육상 여객 운송업,,"58,108","1,211",,,,,,,
,과천시,사업장,폐기물,,"14,905",102,,,,,,,
009290,광동제약,,,제약,,,KOSPI,,C,B+,C,C,
,광명시,사업장,폐기물 처리업,,"67,729",326,,,,,,,
017040,광명전기,,,전기·전자,,,KOSPI,,C,C,D,C,
,광양시,사업장,폐기물 처리업,,"45,864",195,,,,,,,
