종목코드,법인명,지정구분,업종명,온실가스 배출량(tCO₂eq),에너지 사용량(TJ),ESG등급,환경,사회,지배구조
017650,대림제지,사업장,"펄프, 종이 및 판지 제조업","109,561","1,675",,,,
009190,대양금속,사업장,기계,"19,950",395,D,C,C,D
047040,대우건설,업체,건설,"61,064","1,259",A,A,B+,A
00None,대욱케스트,사업장,철강,"15,522",289,,,,
069620,대웅제약,사업장,석유화학,"20,586",424,B,B+,A,C
00None,대원고속,업체,육상 여객 운송업,"117,728","1,920",,,,
00None,대원농산,사업장,폐기물,"20,027",127,,,,
00None,대원버스,사업장,육상 여객 운송업,"33,811",583,,,,
00None,대원여객,사업장,교통(여객),"16,290",313,,,,
00None,대원운수,사업장,육상 여객 운송업,"35,606",596,,,,
00None,대유코아,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","96,217",736,,,,
00None,대천텍스타일,사업장,섬유,"15,547",233,,,,
021040,대호특수강,사업장,철강,"40,263",806,,,,
00None,동광화학,사업장,석유화학,"25,455",527,,,,
00None,동남,사업장,1차 비철금속 제조업,"53,758",837,,,,
004140,동방,사업장,도로 화물 운송업,"57,667",842,C,B,B,C
00None,동서기공,사업장,자동차 신품 부품 제조업,"50,632","1,045",,,,
00None,동신포리마,사업장,플라스틱 제품 제조업,"37,349",765,,,,
084670,동양고속,사업장,육상 여객 운송업,"53,374",762,D,C,D,D
00None,동양환경,업체,폐기물 처리업,"239,750",664,,,,
088910,동우팜투테이블,사업장,식료품 제조업,"14,515",292,,,,
00None,동원F&B,업체,식료품 제조업,"84,156","1,832",,,,
005290,동진쎄미켐,사업장,석유화학,"27,662",567,B,A,A,C
000150,두산,업체,전기전자,"55,371","1,102",A,A,A+,B+
131970,두산테스나,사업장,반도체,"58,757","1,227",B+,B+,A,B+
00None,디알액시온,사업장,비철금속,"11,424",233,,,,
066900,디에이피,사업장,전자 부품 제조업,"77,814","1,613",,,,
00None,디케이씨,사업장,철강,"17,114",344,,,,
00None,로옴코리아,사업장,반도체,"14,770",308,,,,
086900,메디톡스,사업장,석유화학,"16,584",340,B,B+,B+,C
00None,면사랑,사업장,식료품 제조업,"29,600",571,,,,
012690,모나리자,사업장,"펄프, 종이 및 판지 제조업","41,925",781,A,A,A+,A
00None,미래페이퍼,사업장,"펄프, 종이 및 판지 제조업","66,492","1,039",,,,
003610,방림,사업장,섬유,"19,542",297,C,C,D,C
00None,베르상스퍼시픽,사업장,유리 및 유리제품 제조업,"28,013",481,,,,
007210,벽산,사업장,유리 및 유리제품 제조업,"118,254","2,177",B+,B+,B+,B
003850,보령,사업장,석유화학,"17,158",303,A,A,A+,B+
00None,보림씨에스,사업장,폐기물 처리업,"52,338",25,,,,
00None,부산도시가스,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","58,486",302,,,,
090460,비에이치,사업장,전기전자,"18,903",368,C,B,B+,C
00None,비엠금속,사업장,철강,"15,365",282,,,,
005180,빙그레,업체,식료품 제조업,"59,696","1,200",A,A,A+,A
00None,삼동,사업장,절연선 및 케이블 제조업,"46,241",955,,,,
00None,삼우에프앤지,사업장,교통(화물),"21,539",357,,,,
023000,삼원강재,사업장,자동차 신품 부품 제조업,"31,842",646,B+,B+,B+,A
004690,삼천리,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","98,837","1,733",C,B,B+,C
00None,삼표산업,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","89,261","1,559",,,,
437730,삼현,사업장,"내화, 비내화 요업제품 제조업","25,761",445,,,,
00None,삼화양행,업체,전기전자,"51,499","1,065",,,,
00None,상공에너지,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업","4,568","1,601",,,,
00None,샤니,사업장,식료품 제조업,"35,410",719,,,,
021050,서원,사업장,비철금속,"11,134",229,C,C,D,C
008490,서흥,사업장,기타 식품 제조업,"37,334",766,C,B+,A,D
00None,선일다이파스,사업장,기계,"20,958",432,,,,
00None,선진운수,사업장,육상 여객 운송업,"24,798",470,,,,
00None,성신미네필드,사업장,시멘트,"17,752",349,,,,
00None,성호금속,사업장,철강,"18,936",338,,,,
00None,성호금속경주2공장,사업장,금속 주조업,"28,588",515,,,,
00None,성호기업,사업장,철강,"13,162",258,,,,
00None,세아씨엠,사업장,1차 철강 제조업,"80,019","1,519",,,,
00None,세아엘앤에스,사업장,교통(화물),"14,542",210,,,,
306200,세아제강,사업장,1차 철강 제조업,"63,961","1,305",B+,B+,B+,B+
019440,세아특수강,사업장,1차 철강 제조업,"54,540","1,100",B+,B+,B+,B+
00None,세우,사업장,식료품 제조업,"17,612",357,,,,
00None,세주,사업장,해상 운송업,"28,350",387,,,,
068760,셀트리온제약,사업장,석유화학,"15,490",317,D,C,C,D
00None,시흥교통,사업장,교통(여객),"22,048",401,,,,
00None,신동,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업","79,688",283,,,,
004170,신세계,업체,종합 소매업,"130,801","2,705",A,A,A+,A
00None,신승에너지,사업장,폐기물 처리업,"68,270",322,,,,
00None,신안주철,사업장,철강,"16,117",302,,,,
